Kind of Pet,Pet Full Name,All Pet Everyday Names,Pet Everyday Name 1,Pet Everyday Name 2,Pet Everyday Name 3,Pet Everyday Name 4,Pet Everyday Name 5,Pet Everyday Name 6,Pet Everyday Name 7,Pet Everyday Name 8,Pet Age (Years),Deceased?,All Pet Breed(s),Pet Breed 1,Pet Breed 2,Pet Breed 3
Dog,Apollo,Apollo,Apollo,,,,,,,,10,,Boxer,Boxer,,
Dog,Petey,Pete,Pete,,,,,,,,11,,Labrador Retriever,Labrador Retriever,,
Cat,Scuto,Scutie,Scutie,,,,,,,,10,,Burmese,Burmese,,
Dog,Sadie Blue,Sadie,Sadie,,,,,,,,9,,Border Collie,Border Collie,,
Dog,Mira,Weetum,Weetum,,,,,,,,13.5,,Labrador Retriever/ Greyhound,Labrador Retriever,Greyhound,
Dog,Ginger,Ginger,Ginger,,,,,,,,9,,Staffordshire Bull Terrier,Staffordshire Bull Terrier,,
Cat,Cookie Dough,Miss Dough,Miss Dough,,,,,,,,6,,,,,
Turtle,Kachu,Kachu,Kachu,,,,,,,,4,,Tortoise,Tortoise,,
Dog,Hairy Potter,Hairy,Hairy,,,,,,,,12,,Terrier,Terrier,,
Dog,Cricket,Crickita,Crickita,,,,,,,,12,deceased,Shih Tzu/ Dachshund,Shih Tzu,Dachshund,
Dog,Xenia Marie,Xenia,Xenia,,,,,,,,8,,German Shepherd,German Shepherd,,
Guinea Pig,Potato,Tot,Tot,,,,,,,,3,,Abyssinian Guineapig,Abyssinian Guineapig,,
Dog,Daisy Mae,Daisy,Daisy,,,,,,,,12,,Cairn Terrier,Cairn Terrier,,
Chinchilla,Ashe,Ashe,Ashe,,,,,,,,3,,American Standard,American Standard,,
Fish,Mr. Moesby,Mr. Moesby,Mr. Moesby,,,,,,,,3,,Goldfish,Goldfish,,
Fish,Helen,Helen,Helen,,,,,,,,3,,Goldfish,Goldfish,,
Dog,Skylar,Sky Dog,Sky Dog,,,,,,,,15,,Miniature Australian Shepherd,Miniature Australian Shepherd,,
Dog,Maybus Dogstoevsky,Maybe,Maybe,,,,,,,,11,,Treeing Walker Coonhound,Treeing Walker Coonhound,,
Dog,Kahlua,Louie; Loulou; Kahula; Fluffernutter,Louie,Loulou,Kahula,Fluffernutter,,,,,7,,Miniature Australian Shepherd,Miniature Australian Shepherd,,
Cat,Foster,Foster,Foster,,,,,,,,13,,Domestic Shorthair,Domestic Shorthair,,
Cat,Reese,Reese,Reese,,,,,,,,13,,Domestic Shorthair,Domestic Shorthair,,
Dog,Maggie Pie Thatcher,Maggie,Maggie,,,,,,,,0.333333333,,Blue Lacy,Blue Lacy,,
Dog,Ashildr,Ashy,Ashy,,,,,,,,1,,Boxer,Boxer,,
Dog,Elsa,Stinky Poo Poo,Stinky Poo Poo,,,,,,,,17,,German Shepherd,German Shepherd,,
Dog,Belle,Stinky Poo Poo Too,Stinky Poo Poo Too,,,,,,,,17,,Golden Retriever,Golden Retriever,,
Cat,Mufasa,Mufasa,Mufasa,,,,,,,,14,,Domestic Longhair,Domestic Longhair,,
Dog,Zeus,Zeusy,Zeusy,,,,,,,,8,,Jack Russell Terrier,Jack Russell Terrier,,
Guinea Pig,Niblet,Fat Pig,Fat Pig,,,,,,,,4,,,,,
Dog,Molly,Miss Pants,Miss Pants,,,,,,,,6,,Labrador Retriever,Labrador Retriever,,
Cat,Valerie Spaceship Pizza Party,Bubba,Bubba,,,,,,,,6,,Domestic Shorthair,Domestic Shorthair,,
Hamster,Penelope,Penne,Penne,,,,,,,,1,,Syrian,Syrian,,
Cat,Peanut,Peenie Paneenie,Peenie Paneenie,,,,,,,,0.333333333,,Calico Coloration,Calico Coloration,,
Cat,Jupiter,Monsieur Jups,Monsieur Jups,,,,,,,,6,,Domestic Shorthair,Domestic Shorthair,,
Dog,Chip,Chippy; Chipper; Dumbo; Chipper Dipper,Chippy,Chipper,Dumbo,Chipper Dipper,,,,,13.5,,Labrador Retriever,Labrador Retriever,,
Dog,Chewustuffer Asshole,Chewy,Chewy,,,,,,,,2,,Golden Retriever,Golden Retriever,,
Dog,Sailor Moon,Either Sailor; Moon,Either Sailor,Moon,,,,,,,4,,Newfoundland,Newfoundland,,
Dog,Navigator’s Sipsey River Princes,Sipsey,Sipsey,,,,,,,,11,,Labrador Retriever,Labrador Retriever,,
Dog,Buddy,Bud,Bud,,,,,,,,9,,Border Collie,Border Collie,,
Dog,Brown Butter Biscuit,Biscuit,Biscuit,,,,,,,,12,,Labrador Retriever,Labrador Retriever,,
Dog,Millie,Lil Mil,Lil Mil,,,,,,,,13,,Shih Tzu,Shih Tzu,,
Dog,Jonah,Jonah,Jonah,,,,,,,,5,,Labrador Retriever/ Border Collie,Labrador Retriever,Border Collie,
Dog,Diggs,Diggs,Diggs,,,,,,,,9,,Australian Cattle Dog,Australian Cattle Dog,,
Bird,Gudlaguba,Guba,Guba,,,,,,,,2,,,,,
Dog,Herman,Hermie; Herm-derm; Herbie; Herm-worm,Hermie,Herm-derm,Herbie,Herm-worm,,,,,14,,Dachshund,Dachshund,,
Cat,Isis,Isis,Isis,,,,,,,,9,,Domestic Shorthair,Domestic Shorthair,,
Dog,Datsyuk,Datsyuk,Datsyuk,,,,,,,,0.666666667,,Shepherd,Shepherd,,
Dog,Nightwing,Nightwing,Nightwing,,,,,,,,6,,Lhasa Apso /  Maltese,Lhasa Apso,Maltese,
Dog,Isabella,Bella,Bella,,,,,,,,5,,German Shepherd/ Australian Shepherd,German Shepherd,Australian Shepherd,
Dog,Princess Buttercup,Princess,Princess,,,,,,,,4,,Lhasa Apso /  Maltese,Lhasa Apso,Maltese,
Dog,Sir Jake Of Zoar,Jake,Jake,,,,,,,,11,,Labrador Retriever,Labrador Retriever,,
Cat,Michael Theodore Wazowski,Mike,Mike,,,,,,,,2,,,,,
Dog,Scout,Scout,Scout,,,,,,,,6,,King Charles,King Charles,,
Dog,Aluxe,Aluxe,Aluxe,,,,,,,,14,,Poodle,Poodle,,
Dog,Brownie,Brownie,Brownie,,,,,,,,11,,King Charles,King Charles,,
Cat,Catsby,Catsby,Catsby,,,,,,,,12,,Domestic Shorthair,Domestic Shorthair,,
Rabbit,Clementine The Lemon,Clem,Clem,,,,,,,,7,,,,,
Dog,Shelby May,Shelbs,Shelbs,,,,,,,,6.083,,Terrier,Terrier,,
Dog,Mr. Henry Midas Darcy,Henry,Henry,,,,,,,,7,,Golden Retriever,Golden Retriever,,
Cat,Hermes,Hermes,Hermes,,,,,,,,10,,,,,
Dog,Annie Reese,Annie,Annie,,,,,,,,11,,Husky/ Corgi,Husky,Corgi,
Dog,Blackjack,Blackjack,Blackjack,,,,,,,,3,,Pitbull/ Labrador Retriever,Pitbull,Labrador Retriever,
Cat,Dolly Madison,Dolly,Dolly,,,,,,,,11,,American Shorthair,American Shorthair,,
Cat,Franklin Roosevelt,Franklin,Franklin,,,,,,,,16,,Siamese,Siamese,,
Cat,Abby,Abby,Abby,,,,,,,,2.5,,,,,
Dog,Jaden,Jaden,Jaden,,,,,,,,8,,,,,
Dog,Sophie,Soph,Soph,,,,,,,,9,,Golden Retriever,Golden Retriever,,
Cat,Elizabeth Bennet,Elizabeth; No!,Elizabeth,No!,,,,,,,13,,Domestic Longhair,Domestic Longhair,,
Cat,Amadeus,Booboo,Booboo,,,,,,,,13,,Domestic Longhair,Domestic Longhair,,
Dog,Petey,Petey,Petey,,,,,,,,11,,Golden Retriever,Golden Retriever,,
Dog,Jack,Jackson,Jackson,,,,,,,,11,,Golden Retriever,Golden Retriever,,
Dog,Bella,Bell,Bell,,,,,,,,8,,Puggle,Puggle,,
Dog,Starsky Buford,Starsky,Starsky,,,,,,,,7,,Foxhound,Foxhound,,
Prairie Dog,Beatrice,Trixie,Trixie,,,,,,,,5,,Mexican Black Tailed Prairie Dog,Mexican Black Tailed Prairie Dog,,
Dog,Quito,Kiki,Kiki,,,,,,,,4,,Mixed,Mixed,,
Dog,Wiggins,Wiggs,Wiggs,,,,,,,,3,,Labrador Retriever/ Basset Hound,Labrador Retriever,Basset Hound,
Bird,Aretha,The Broody One,The Broody One,,,,,,,,1,,Black Star,Black Star,,
Snake,Stanley,Stanley,Stanley,,,,,,,,1,,Ball Python,Ball Python,,
Dog,Bella,Smelly Belly,Smelly Belly,,,,,,,,13,,Weimaraner,Weimaraner,,
Hermit Crab,Golddigger,Goldie,Goldie,,,,,,,,,,Australian Land,Australian Land,,
Dog,Maple,Mapie; Mapes,Mapie,Mapes,,,,,,,0.416666667,,Shiba Inu,Shiba Inu,,
Dog,Sara,Sara,Sara,,,,,,,,7,,Polish Tatra Sheepdog,Polish Tatra Sheepdog,,
Bee,Professor Mcgongall (the Queen),Hogwarts (the Hive),Hogwarts (the Hive),,,,,,,,0.25,,,,,
Dog,Clementine,Clem,Clem,,,,,,,,5.5,,Coonhound,Coonhound,,
Dog,Ali May,Ali,Ali,,,,,,,,12,,Labrador Retriever,Labrador Retriever,,
Dog,Aspen,Ass-pen,Ass-pen,,,,,,,,3,,Coonhound,Coonhound,,
Dog,Amber,Amber,Amber,,,,,,,,2,,German Pointer,German Pointer,,
Guinea Pig,Diego,Dego Bear,Dego Bear,,,,,,,,3,,,,,
Guinea Pig,Linus,Linus,Linus,,,,,,,,1,,American,American,,
Dog,Coquine,Ti-chat,Ti-chat,,,,,,,,15,,Maltese,Maltese,,
Guinea Pig,Colby,Colbs,Colbs,,,,,,,,3,,,,,
Dog,Medley May,Med Head; Big Medley,Med Head,Big Medley,,,,,,,8,,Great Dane,Great Dane,,
Dog,Maggie,Mag Bag,Mag Bag,,,,,,,,3,,Great Dane,Great Dane,,
Dog,Finn Jethro,Finny,Finny,,,,,,,,7,,Poodle,Poodle,,
Dog,Tallulah Lilac,Lulah,Lulah,,,,,,,,4,,Poodle,Poodle,,
Dog,Bear,Bear,Bear,,,,,,,,6,,Husky/ Golden Shepherd/ Border Collie,Husky,Golden Shepherd,Border Collie
Cat,Fuji,Worm,Worm,,,,,,,,9,,Moggy,Moggy,,
Dog,Emily,Emily,Emily,,,,,,,,7,,Pitbull,Pitbull,,
Dog,Winifred Yankeestaff Arnone,Winnie,Winnie,,,,,,,,13,,Staffordshire Bull Terrier,Staffordshire Bull Terrier,,
Dog,Bella,Bella,Bella,,,,,,,,9,,Shih Tzu,Shih Tzu,,
Dog,Mocha Latte,Moch,Moch,,,,,,,,2,,Retriever/ Pitbull,Retriever,Pitbull,
Dog,Bentley Rockstaff Jardine Arnone,Bentley,Bentley,,,,,,,,0.833333333,,Staffordshire Bull Terrier,Staffordshire Bull Terrier,,
Cat,Lili,Lili,Lili,,,,,,,,11,,Russian Blue,Russian Blue,,
Dog,Freddie Mercury,Freddie,Freddie,,,,,,,,15,,Miniature Schnauzer,Miniature Schnauzer,,
Dog,Einstein Pancake,Einstein,Einstein,,,,,,,,11,,Shih Tzu/ Poodle,Shih Tzu,Poodle,
Cat,Kit Marlowe,Marlowe,Marlowe,,,,,,,,11,,Domestic Shorthair,Domestic Shorthair,,
Dog,Sir Eggs Benedict,Benny,Benny,,,,,,,,2.5,,Pembroke Welsh Corgi,Pembroke Welsh Corgi,,
Dog,Bandit,Ban Ban,Ban Ban,,,,,,,,8,,Husky,Husky,,
Cat,Beauregard Montgomery Cat,Beau,Beau,,,,,,,,3,,,,,
Dog,Mac,Mac,Mac,,,,,,,,5,,Border Collie,Border Collie,,
Dog,Shepherd E Stoltzfus,Shep,Shep,,,,,,,,5,,Border Collie,Border Collie,,
Dog,Cinnamon,Chinamon,Chinamon,,,,,,,,4,,Labrador Retriever,Labrador Retriever,,
Rabbit,Greta,Greta,Greta,,,,,,,,13,,Mini Rex,Mini Rex,,
Dog,Rocky Ciroc,Ciroc,Ciroc,,,,,,,,6,,Bichon Frise,Bichon Frise,,
Cat,Cloudy,Cloudy,Cloudy,,,,,,,,9,,,,,
Cat,Sunny,Sunny,Sunny,,,,,,,,5,,,,,
Dog,Jack,Jack,Jack,,,,,,,,2,,Miniature Dachshund,Miniature Dachshund,,
Dog,Baldrick Of Blackadder Bob,Bob,Bob,,,,,,,,14,,Miniature Schnauzer,Miniature Schnauzer,,
Dog,Danny,Danny,Danny,,,,,,,,,deceased,Pomeranian/ Indian Mongrel,Pomeranian,Indian Mongrel,
Dog,Troy,Sweetie,Sweetie,,,,,,,,9,,Pitbull,Pitbull,,
Dog,Lavender,Lav,Lav,,,,,,,,8,,Pitbull,Pitbull,,
Dog,Buddy,Mr. B,Mr. B,,,,,,,,6,,Golden Retriever,Golden Retriever,,
Dog,Chase,Chase,Chase,,,,,,,,6,,Boxer,Boxer,,
Dog,Charlotte,Charlie,Charlie,,,,,,,,8,,Border Collie,Border Collie,,
Dog,Ice,Ice,Ice,,,,,,,,14,,Sharpei/ Dachshund,Sharpei,Dachshund,
Fish,Alpha (the Beta),Alpha,Alpha,,,,,,,,0.083333333,,Betta,Betta,,
Dog,Dolly,Dolly,Dolly,,,,,,,,7,,Labrador Retriever,Labrador Retriever,,
Dog,Geoffrey,Geoffrey,Geoffrey,,,,,,,,1,,Maltipoo,Maltipoo,,
Rabbit,Aragorn,Strider,Strider,,,,,,,,5,,Dwarf Lop,Dwarf Lop,,
Rabbit,Arwen,Arwen,Arwen,,,,,,,,4,,Lionhead/ Dwarf Lop,Lionhead,Dwarf Lop,
Dog,Holly,Holly,Holly,,,,,,,,8.5,,Golden Retriever,Golden Retriever,,
Dog,Coco Pollybird,Coco,Coco,,,,,,,,10,,Cocker Spaniel,Cocker Spaniel,,
Dog,Tim,Tim,Tim,,,,,,,,12,,Beagle,Beagle,,
Dog,Magui Josefina Primera Mercado,Moñoñito,Moñoñito,,,,,,,,16,,English Cocker Spaniel,English Cocker Spaniel,,
Turtle,Robustiana,Robby,Robby,,,,,,,,5,,,,,
Dog,Scooby,Scoob,Scoob,,,,,,,,,,American Cocker Spaniel,American Cocker Spaniel,,
Dog,Balto José,Bartolo,Bartolo,,,,,,,,6,,,,,
Bird,Lulú Anastasia,Pollo,Pollo,,,,,,,,16,,,,,
Dog,Xena Badass Mcawesome Princess Flufflepuffs Of The Ashen Fields Of Mordor,Xena,Xena,,,,,,,,6,,Golden Retriever,Golden Retriever,,
Dog,Wilbur,Wilby,Wilby,,,,,,,,6,,French/ British Bulldog,French,British Bulldog,
Dog,Rowena Ravenclaw,Puppy,Puppy,,,,,,,,3,,Rhodesian Ridgeback,Rhodesian Ridgeback,,
Dog,Magnificent,Maggie,Maggie,,,,,,,,7,,King Charles/ Papillon,King Charles,Papillon,
Dog,Nova,Scoosh,Scoosh,,,,,,,,0.583333333,,Cocker Spaniel,Cocker Spaniel,,
Dog,Penny,Penny,Penny,,,,,,,,12,,Rat Terrier,Rat Terrier,,
Cat,Jasper,Jasper,Jasper,,,,,,,,8,,,,,
Dog,Maisie Taters,Maisie,Maisie,,,,,,,,2,,Hound,Hound,,
Dog,Guinness,Guinness,Guinness,,,,,,,,9,,Australian Shepherd,Australian Shepherd,,
Dog,Johnny Bee,Johnny,Johnny,,,,,,,,5,,Boxer,Boxer,,
Cat,Emma,Emma-zoo,Emma-zoo,,,,,,,,21,,Calico Coloration,Calico Coloration,,
Dog,Mayflower,May,May,,,,,,,,12,,Labrador Retriever,Labrador Retriever,,
Cat,Benjamin,Ben,Ben,,,,,,,,6,,,,,
Dog,Roscoe,Roscoe,Roscoe,,,,,,,,13,,Beagle,Beagle,,
Cat,Pitted Bear,Pits,Pits,,,,,,,,6,,,,,
Cat,Lily,Lily,Lily,,,,,,,,20,,,,,
Cat,Maggie,Maggie,Maggie,,,,,,,,19,,,,,
Cat,Tom,Tomsl,Tomsl,,,,,,,,18,,British Shorthair,British Shorthair,,
Cat,Gerri,Gerri,Gerri,,,,,,,,17,,British Shorthair,British Shorthair,,
Dog,Ashley,Ashley,Ashley,,,,,,,,5,,English Cocker Spaniel,English Cocker Spaniel,,
Cat,Moritz,Mori,Mori,,,,,,,,8,,,,,
Dog,Janis,Janis,Janis,,,,,,,,7,,,,,
Dog,Leonardo,Leo,Leo,,,,,,,,7,,Pekingese,Pekingese,,
Rabbit,Cheeky,Twatty,Twatty,,,,,,,,5,,,,,
Cat,Tyler,Doofus,Doofus,,,,,,,,11,,Domestic Shorthair,Domestic Shorthair,,
Dog,Ceili Kibbles,Ceili,Ceili,,,,,,,,10,,Golden Retriever,Golden Retriever,,
Cat,Kiki,Kikster,Kikster,,,,,,,,11,,Domestic Shorthair,Domestic Shorthair,,
Dog,Charlie,Charlie,Charlie,,,,,,,,0.416666667,,Bernese Mountain Dog,Bernese Mountain Dog,,
Cat,Oreo,Oreo,Oreo,,,,,,,,0.25,,Domestic Shorthair,Domestic Shorthair,,
Cat,Ichi,Itch,Itch,,,,,,,,8,,,,,
Fish,Mussel,Muss,Muss,,,,,,,,3,,,,,
Dog,Mango,Mango,Mango,,,,,,,,2,,,,,
Hamster,Muffin,Muffin,Muffin,,,,,,,,2,,,,,
Dog,Rufus,Roofie,Roofie,,,,,,,,14,,Golden Retriever,Golden Retriever,,
Dog,Daisy,Daze,Daze,,,,,,,,0.333333333,,Golden Retriever,Golden Retriever,,
Dog,Lily,Lils,Lils,,,,,,,,13,,Golden Retriever,Golden Retriever,,
Dog,Bertie,Bertie Boy,Bertie Boy,,,,,,,,0.333333333,,Golden Retriever,Golden Retriever,,
Dog,Max,Bear,Bear,,,,,,,,7,,Akita,Akita,,
Dog,Molly,Moo,Moo,,,,,,,,7,,Beagle,Beagle,,
Dog,Poppy,Poppy Dog,Poppy Dog,,,,,,,,2,,Golden Retriever,Golden Retriever,,
Dog,Daisy,Daisy Dog,Daisy Dog,,,,,,,,2,,Golden Retriever,Golden Retriever,,
Cat,Nica-nu,Nica-no-give-that-backq,Nica-no-give-that-backq,,,,,,,,1.75,,British Shorthair,British Shorthair,,
Cat,Meredith,Mer,Mer,,,,,,,,8,,,,,
Dog,Koda,Koda,Koda,,,,,,,,9,,Golden Retriever,Golden Retriever,,
Dog,Elwood,Elwood,Elwood,,,,,,,,9,,Golden Retriever,Golden Retriever,,
Dog,Jake,Jakey,Jakey,,,,,,,,9,,Golden Retriever,Golden Retriever,,
Cat,Blizzard,White,White,,,,,,,,13,,,,,
Cat,Hemingway,Hemi,Hemi,,,,,,,,9,,,,,
Cat,George,Porge,Porge,,,,,,,,11,,,,,
Dog,Miles,Miles,Miles,,,,,,,,8,,Labrador Retriever,Labrador Retriever,,
Cat,Sherbert,Sherbert,Sherbert,,,,,,,,1,,,,,
Cat,Liesje,Liesje,Liesje,,,,,,,,5,,Domestic Shorthair,Domestic Shorthair,,
Dog,Indiana,Indy,Indy,,,,,,,,10,,Welsh Springer Spaniel,Welsh Springer Spaniel,,
Cat,Diego Maradona,Degs,Degs,,,,,,,,3,,,,,
Dog,Maximus Harvey,Max,Max,,,,,,,,2,,Golden Retriever,Golden Retriever,,
Cat,Paco,Pac Man,Pac Man,,,,,,,,2,,,,,
Dog,Douglas Ray Richardson The Third,Doug,Doug,,,,,,,,6,,Red Heeled,Red Heeled,,
Guinea Pig,Wilbur,Wilbur,Wilbur,,,,,,,,1,,,,,
Guinea Pig,Vincent,Vinnie,Vinnie,,,,,,,,1,,,,,
Dog,Harley,Gnarly,Gnarly,,,,,,,,4,,Pug,Pug,,
Turtle,Taco,Taco,Taco,,,,,,,,7,,Russian Tortoise,Russian Tortoise,,
Dog,Buster,Busty,Busty,,,,,,,,14,,Jack Russell Terrier,Jack Russell Terrier,,
Dog,Alfie,Alfie Dude,Alfie Dude,,,,,,,,14,,Jack Russell Terrier,Jack Russell Terrier,,
Dog,Mila,Mila,Mila,,,,,,,,9,,Mixed,Mixed,,
Dog,Zero,Boydog,Boydog,,,,,,,,10,,Rhodesian Ridgeback,Rhodesian Ridgeback,,
Rabbit,Cirkeline,Cirkeline,Cirkeline,,,,,,,,7,,Mixed,Mixed,,
Dog,Bella Nina,Bella,Bella,,,,,,,,0.583,,German Shepherd/ Border Collie,German Shepherd,Border Collie,
Dog,Thomas James,Tom,Tom,,,,,,,,0.333,,Not Sure,,,
Dog,Archie,Archie,Archie,,,,,,,,0.333,,German Shepherd,German Shepherd,,
Cat,Mao,Mao,Mao,,,,,,,,14,,Moggy,Moggy,,
Dog,Briggs,Briggy,Briggy,,,,,,,,10,,Labrador Retriever,Labrador Retriever,,
Dog,Mya (the Dog),My,My,,,,,,,,13,,Labrador Retriever,Labrador Retriever,,
Cat,Dee Dee,Dee,Dee,,,,,,,,13,,,,,
Dog,Neela,Neely,Neely,,,,,,,,8,,Shih Tzu,Shih Tzu,,
Dog,Hank,Hankle,Hankle,,,,,,,,2,,Blue Heeler/ Australian Shepherd,Blue Heeler,Australian Shepherd,
Dog,Button,Button,Button,,,,,,,,7,,Cockalier,Cockalier,,
Dog,Missy Princess,Missy,Missy,,,,,,,,14,,Cocker Spaniel,Cocker Spaniel,,
Dog,Prince,Prince,Prince,,,,,,,,7,,German Shepherd/ Golden Retriever,German Shepherd,Golden Retriever,
Dog,Samuel,Sam,Sam,,,,,,,,8,,Golden Retriever,Golden Retriever,,
Cat,Wolfe,Buddu,Buddu,,,,,,,,11.5,,Domestic Shorthair,Domestic Shorthair,,
Cat,Muppet,Muppy,Muppy,,,,,,,,6,,Tabby Coloration,Tabby Coloration,,
Bird,Bruce,Brucey,Brucey,,,,,,,,10,,Budgerigar,Budgerigar,,
Dog,Precious Fudge,Miss Precious,Miss Precious,,,,,,,,12,,Labrador Retriever/ Border Collie,Labrador Retriever,Border Collie,
Dog,Truffles,Truffs,Truffs,,,,,,,,11,,Chocolate Poodle,Chocolate Poodle,,
Dog,Woodland,Woody,Woody,,,,,,,,4,,Long Haired Chihuahua,Long Haired Chihuahua,,
Rat,Tomasa,Tommy,Tommy,,,,,,,,1.83,,,,,
Dog,Heath M&m,Mr. Peaf,Mr. Peaf,,,,,,,,8,,Australian Cattle Dog,Australian Cattle Dog,,
Dog,Mosley,Mr. Mosley,Mr. Mosley,,,,,,,,6,,Pitbull/ Terrier,Pitbull,Terrier,
Dog,Peter,Mr. Peter,Mr. Peter,,,,,,,,3,,,,,
Cat,Miss Lucy,Lucy,Lucy,,,,,,,,4,,Siamese,Siamese,,
Cat,Miss Molly,Molly,Molly,,,,,,,,3,,,,,
Cat,Luna,Luna,Luna,,,,,,,,0.375,,Ragdoll,Ragdoll,,
Dog,Sammy,Sammy,Sammy,,,,,,,,12,,Shih Tzu,Shih Tzu,,
Dog,Theodore Barkalot,Teddy,Teddy,,,,,,,,8,,Bichon Havanese,Bichon Havanese,,
Bird,Delphine,,,,,,,,,,2,,Speckledy,Speckledy,,
Dog,D'artagnan,Dart,Dart,,,,,,,,17,,Pug,Pug,,
Cat,Fire,Fire,Fire,,,,,,,,0.25,,Domestic Shorthair,Domestic Shorthair,,
Cat,Ash,Ash,Ash,,,,,,,,0.25,,Domestic Shorthair,Domestic Shorthair,,
Cat,Kami,Kam,Kam,,,,,,,,1,,Domestic Longhair,Domestic Longhair,,
Cat,Kit Kat,Kit,Kit,,,,,,,,0.166666667,,Domestic Mediumhair,Domestic Mediumhair,,
Dog,Celsius Pele Amadeus Cartier,Celsius,Celsius,,,,,,,,11,,Labrador Retriever,Labrador Retriever,,
Dog,Lando Calrisian,Lando,Lando,,,,,,,,4,,Labrador Retriever,Labrador Retriever,,
Dog,Obi-wan,Obi,Obi,,,,,,,,2,,Labrador Retriever,Labrador Retriever,,
Dog,Titus Sirius Icarus Cartier,Titus,Titus,,,,,,,,10,,Labrador Retriever,Labrador Retriever,,
Dog,Samuel T Dogg,Sam,Sam,,,,,,,,8,,Labrador Retriever,Labrador Retriever,,
Cat,Puka Shell,Puka,Puka,,,,,,,,3,,,,,
Cat,Lily Pad,Lily,Lily,,,,,,,,1.5,,,,,
Dog,Oreo Ann,Oreo,Oreo,,,,,,,,11,,,,,
Dog,Oliver,Ollie,Ollie,,,,,,,,7,,,,,
Dog,Stamford,Stamford,Stamford,,,,,,,,10,,Bichon Frise,Bichon Frise,,
Dog,Bentley,Bentley,Bentley,,,,,,,,4,,Labrador Retriever,Labrador Retriever,,
Dog,Lulu,Lulu,Lulu,,,,,,,,10,,Jack Russell,Jack Russell Terrier,,
Dog,Ella,Elephant,Elephant,,,,,,,,8,,Labrador Retriever,Labrador Retriever,,
Dog,Roxy,Roxy,Roxy,,,,,,,,5,,German Shepherd,German Shepherd,,
Cat,Andrew Angela,Andie,Andie,,,,,,,,1.5,,American Shorthair,American Shorthair,,
Cat,Cricket,Creekee,Creekee,,,,,,,,8,,American Shorthair,American Shorthair,,
Dog,Desmond,Dez,Dez,,,,,,,,8,,English Labrador Retrieverrador,English Labrador Retrieverrador,,
Cat,Tallulah May,Chunky Butt,Chunky Butt,,,,,,,,2,,American Shorthair,American Shorthair,,
Dog,Stella,Stella,Stella,,,,,,,,9,,Hunterway/ Border Collie,Hunterway,Border Collie,
Cat,Snowflake,Snow; Snowy,Snow,Snowy,,,,,,,11,,Maine Coon,Maine Coon,,
Dog,Sheena,Beena,Beena,,,,,,,,12,,Golden,Golden,,
Cat,Rico,Rico,Rico,,,,,,,,13,,,,,
Cat,Sirius Black,Chonk,Chonk,,,,,,,,4,,,,,
Cat,Bellatrix Lestrange,Bella,Bella,,,,,,,,2,,,,,
Dog,Perry The Poodle,Perry,Perry,,,,,,,,2,,Poodle,Poodle,,
Dog,Cody The Corgi,Cody,Cody,,,,,,,,3,,Pembroke Welsh Corgi,Pembroke Welsh Corgi,,
Cat,Princess Penelope Pineapple Pizza,Kitty,Kitty,,,,,,,,3,,Calico Coloration,Calico Coloration,,
Cat,Mel,Melzinga,Melzinga,,,,,,,,3,,,,,
Dog,Ginevra Molly,Ginny,Ginny,,,,,,,,0.346153846,,Golden Retriever,Golden Retriever,,
Cat,Mel De Melissa Duarte Brandizzi,Mel,Mel,,,,,,,,3,,,,,
Cat,Mila Vilela Brandizzi,Mila,Mila,,,,,,,,1,,,,,
Cat,Sushi,Baby; Sushi Burger,Baby,Sushi Burger,,,,,,,14,,,,,
Dog,Riley,Riley; Ri; Riley Roo; Roo; Ri Ri; Bud; Buddy; Bub,Riley,Ri,Riley Roo,Roo,Ri Ri,Bud,Buddy,Bub,4,,Husky,Husky,,
Dog,Cleopatra,Cleo,Cleo,,,,,,,,3,,Greyhound,Greyhound,,
Dog,Coco,Coco,Coco,,,,,,,,10,,Corgi,Corgi,,
Dog,Captain,Captain; Cappie,Captain,Cappie,,,,,,,14,,Husky,Husky,,
Dog,Buddy,Buddy,Buddy,,,,,,,,8,,Mixed,Mixed,,
Dog,Magnolia Mae,Maggie,Maggie,,,,,,,,2,,Corgi,Corgi,,
Dog,Sam,Sammy,Sammy,,,,,,,,5,,Border Collie,Border Collie,,
Frog,Lily,Lily,Lily,,,,,,,,1,,,,,
Dog,Zoey,Zo,Zo,,,,,,,,4,,Mixed,Mixed,,
Cat,Sammy,Sammy,Sammy,,,,,,,,9,,,,,
Cat,Tika,Tika,Tika,,,,,,,,8,,,,,
Cat,Prince William,William,William,,,,,,,,9,,,,,
Dog,Chip,Chippers,Chippers,,,,,,,,2,,Golden Retriever,Golden Retriever,,
Spider,Rosie,Rosie,Rosie,,,,,,,,6,,Chilean Rose Hair Tarantula,Chilean Rose Hair Tarantula,,
Cat,Zoey,Zoey,Zoey,,,,,,,,5,,Tabby Coloration,Tabby Coloration,,
Cat,Stella Lou,Stella,Stella,,,,,,,,2,,Tabby Coloration,Tabby Coloration,,
Dog,Snickers,Snick,Snick,,,,,,,,8,,Labrador Retriever,Labrador Retriever,,
Dog,Max,Max,Max,,,,,,,,12.5,,Labrador Retriever,Labrador Retriever,,
Dog,Leeloo,Leeloo,Leeloo,,,,,,,,2,,Labradoodle,Labradoodle,,
Dog,Owen,Owen,Owen,,,,,,,,13,,Ridgeback,Ridgeback,,
